name,slug,description,price,costPrice,wholesalePrice,compareAtPrice,images,category,sku,stock,isActive,isFeatured,showInPromotions,seoTitle,seoDescription,oemNumbers,attr_type,attr_ապրանքանիշ,attr_սեզոն,attr_լայնություն,attr_պրոֆիլ,attr_չափ,attr_տրամագիծ,vehicle_brand,vehicle_model,vehicle_yearFrom,vehicle_yearTo
,,,,,,,,Ամրակներ,C0128,0,այո,,,,,91512SM4003,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0129,0,այո,,,,,"9018906010,96706P0105,755216110000,999100601,91619SA5000",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0130,0,այո,,,,,"906566716310M1,90656671631",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0131,0,այո,,,,,387496S,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0132,0,այո,,,,,4876498,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0133,0,այո,,,,,6681401G00,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0134,0,այո,,,,,"9018905012,8941340270",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0135,0,այո,,,,,"1099830880,90684SA5003,8942981190,5578552020,0940906319",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0136,0,այո,,,,,"BF8250233,0155301393,8665127000",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0137,0,այո,,,,,"3997391,179813881",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0138,0,այո,,,,,"25514221,6003587",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0139,0,այո,,,,,10408480,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0140,0,այո,,,,,"20032850,387258S,3861577",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0141,0,այո,,,,,10108746,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0142,0,այո,,,,,90688S0003,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0143,0,այո,,,,,91501SM4003,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0144,0,այո,,,,,387843S,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0145,0,այո,,,,,"9046709145,9046709145C0",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0145DarkGrey,0,այո,,,,,9046709145B0,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0146,0,այո,,,,,"9046708004,9046708011,9008046010*,94842841,94849113",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0147,0,այո,,,,,"12337920,20374473",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0148,0,այո,,,,,"90687SB0003,90687SB0013,90687SB2901ZF",,,,,,,,,,,
